tconst,p1,p2,p3,p4,p5,p6
tt1067106,0,0,0,100,0,0
tt0369436,0,0,0,99,0,0
tt5028340,0,0,0,98,0,0
tt0104940,0,0,0,97,0,0
tt1126591,0,0,0,96,0,0
tt0113497,0,0,0,95,70,0
tt0388419,0,0,0,94,0,0
tt0119303,0,91,0,93,0,0
tt6398184,54,79,85,92,84,0
tt7126948,0,3,42,91,0,0
tt2294629,0,69,95,90,0,0
tt8504014,0,0,0,88,34,70
tt0110367,0,0,0,87,43,62
tt10481868,0,23,27,86,0,0
tt8526872,0,0,0,85,66,61
tt1620981,0,0,0,84,0,0
tt6673612,0,0,0,83,88,36
tt9354944,0,0,0,81,67,0
tt8623904,16,34,49,80,0,85
tt6189022,24,62,81,79,62,92
tt0304669,0,0,98,78,0,0
tt1711525,0,0,0,77,0,0
tt0241527,70,0,0,76,69,97
tt5606664,15,16,40,75,71,84
tt7984766,23,47,66,74,52,58
tt0080684,0,0,67,73,0,0
tt8772262,51,51,69,72,32,27
tt0121765,0,0,61,71,86,0
tt7798634,9,32,48,70,57,64
tt1206885,31,39,53,69,81,0
tt0457939,0,0,96,68,0,0
tt5774060,0,0,84,67,47,16
tt6105098,26,0,80,66,56,81
tt1745960,0,0,8,65,95,0
tt5097410,47,82,79,63,0,0
tt0121766,0,0,58,62,92,0
tt2382320,40,18,46,60,48,34
tt7713068,89,42,56,58,50,10
tt0096061,0,0,0,57,0,0
tt0086190,0,0,52,56,73,0
tt7349950,22,33,34,55,39,53
tt0111070,0,68,73,53,0,0
tt0338348,0,86,78,52,0,0
tt1950186,5,22,33,51,16,24
tt2283362,72,35,38,50,41,71
tt5814534,0,0,0,49,28,51
tt1833116,0,0,0,48,33,44
tt6259380,0,26,16,47,60,75
tt5503686,10,21,29,46,29,26
tt0076759,79,87,36,44,44,69
tt0120915,59,56,32,43,45,65
tt2076298,0,0,75,40,40,49
tt6028590,0,13,26,38,27,39
tt0170016,0,59,51,37,0,0
tt8311512,0,0,0,36,55,0
tt0104431,86,60,55,35,0,0
tt6141246,0,0,45,34,38,72
tt1560220,80,0,39,32,26,46
tt5116302,0,0,0,31,36,57
tt0319343,0,0,15,28,0,0
tt6751668,13,19,22,27,13,7
tt10155454,0,63,64,26,0,0
tt7984734,27,64,0,25,18,17
tt0095016,0,65,60,24,0,0
tt8367814,0,0,62,23,19,18
tt0085334,0,98,77,21,0,0
tt6394270,65,14,10,20,17,15
tt7653254,44,2,7,18,12,12
tt0099785,35,25,24,17,77,0
tt8579674,18,24,15,16,9,1
tt8404614,0,67,47,15,21,22
tt7975244,38,8,5,13,11,19
tt0314331,77,29,19,12,64,0
tt0097958,55,31,21,11,0,0
tt7286456,6,12,11,10,10,4
tt6723592,0,0,14,9,35,47
tt1302006,1,1,4,8,7,11
tt5727208,93,27,13,6,5,9
tt8946378,3,6,6,4,4,5
tt8106534,0,4,2,3,8,20
tt5697572,32,17,3,2,2,8
tt0448115,0,75,100,0,54,59
tt8613070,0,0,99,0,93,77
tt8722346,28,54,97,0,0,0
tt6806448,50,76,94,0,91,0
tt2990140,0,0,93,0,0,0
tt1950235,0,83,92,0,0,0
tt8236336,48,49,91,0,85,94
tt9071322,66,46,90,0,0,0
tt6264654,0,10,89,0,0,0
tt0068646,61,66,88,0,0,0
tt4953804,63,36,86,0,83,88
tt3224458,11,43,83,0,59,56
tt7549996,0,52,82,0,75,35
tt1321510,0,28,76,0,0,0
tt2274648,0,0,74,0,79,68
tt9032400,0,94,72,0,0,90
tt8485364,0,0,71,0,0,0
tt3778644,96,0,70,0,61,0
tt0038650,0,97,68,0,0,0
tt6644200,0,0,65,0,31,60
tt0409459,60,58,63,0,0,0
tt0092099,0,0,59,0,0,0
tt2584384,36,40,57,0,15,13
tt1086064,0,0,54,0,0,0
tt4513678,0,5,50,0,0,0
tt4154796,29,37,44,0,25,29
tt7059844,0,0,43,0,0,0
tt2709692,75,38,41,0,0,95
tt5033998,8,48,39,0,0,0
tt11018828,0,0,37,0,0,0
tt0059742,0,0,35,0,49,0
tt3748528,94,99,31,0,53,80
tt4729430,12,30,28,0,76,0
tt3513548,46,15,25,0,46,52
tt2488496,0,85,23,0,37,67
tt8332922,0,0,20,0,14,0
tt4520988,2,11,18,0,22,23
tt3281548,37,20,17,0,3,0
tt2527336,42,41,12,0,23,0
tt7131622,0,9,9,0,6,3
tt1877830,91,0,0,0,0,82
tt9207616,57,0,0,0,0,0
tt6924650,14,55,0,0,0,0
tt6450804,30,93,0,0,0,0
tt8688634,19,78,0,0,0,0
tt1025100,33,90,0,0,74,55
tt6320628,71,0,0,0,97,0
tt10676048,49,0,0,0,0,0
tt0468569,76,0,0,0,0,0
tt0066473,0,0,0,0,0,0
tt0067824,0,0,0,0,0,0
tt0067927,0,0,0,0,0,0
tt0067525,0,0,0,0,0,0
tt0067065,0,0,0,0,0,0
tt0066995,0,0,0,0,0,0
tt0067116,0,0,0,0,0,0
tt0066999,0,0,0,0,0,0
tt0068182,0,0,0,0,0,0
tt0072281,0,0,0,0,0,0
tt0070909,0,0,0,0,0,0
tt0070355,0,0,0,0,0,0
tt0070328,0,0,0,0,0,0
tt0070034,0,0,0,0,0,0
tt0071455,0,0,0,0,0,0
tt0071249,0,0,0,0,0,0
tt0072251,0,0,0,0,0,0
tt0071402,0,0,0,0,0,0
tt0072308,0,0,0,0,0,0
tt0071807,0,0,0,0,0,0
tt0073018,0,0,0,0,0,0
tt0072926,0,0,0,0,0,0
tt0073631,0,0,0,0,0,0
tt0072856,0,0,0,0,0,0
tt0073707,0,0,0,0,0,0
tt0074899,0,0,0,0,0,0
tt0075223,0,0,0,0,0,0
tt0074483,0,0,0,0,0,0
tt0074156,0,0,0,0,0,0
tt0074812,0,0,0,0,0,0
tt0077294,0,0,0,0,0,0
tt0076070,0,0,0,0,0,0
tt0076729,0,0,0,0,0,0
tt0076752,0,0,0,0,0,0
tt0077474,0,0,0,0,0,0
tt0078243,0,0,0,0,0,0
tt0077369,0,0,0,0,0,0
tt0077594,0,0,0,0,0,0
tt0077572,0,0,0,0,0,0
tt0077523,0,0,0,0,0,0
tt0080179,0,0,0,0,0,0
tt0078346,0,0,0,0,0,0
tt0079574,0,0,0,0,0,0
tt0079501,0,0,0,0,0,0
tt0081529,0,0,0,0,0,0
tt0080377,0,0,0,0,0,0
tt0080736,0,0,0,0,0,0
tt0080745,0,0,0,0,0,0
tt0081573,0,0,0,0,0,0
tt0082288,0,0,0,0,0,0
tt0083111,0,0,0,0,0,0
tt0082817,0,0,0,0,0,0
tt0083190,0,0,0,0,0,0
tt0082869,0,0,0,0,0,0
tt0082136,0,0,0,0,0,0
tt0082186,0,0,0,0,0,0
tt0082398,0,0,0,0,0,0
tt0082340,0,0,0,0,0,0
tt0082694,0,0,0,0,0,0
tt0082971,0,0,0,0,0,0
tt0082250,0,0,0,0,0,0
tt0083630,0,0,0,0,0,0
tt0083943,0,0,0,0,0,0
tt0084726,0,0,0,0,0,0
tt0084827,0,0,0,0,0,0
tt0082198,0,0,0,0,0,0
tt0083944,0,0,0,0,0,0
tt0083658,0,0,0,0,0,0
tt0085127,0,0,0,0,0,0
tt0085255,0,0,0,0,0,0
tt0085811,0,0,0,0,0,0
tt0086383,0,0,0,0,0,0
tt0086006,0,0,0,0,0,0
tt0086393,0,0,0,0,0,0
tt0086034,0,0,0,0,0,0
tt0087332,0,53,0,0,0,0
tt0087175,0,0,0,0,0,0
tt0087727,0,0,0,0,0,0
tt0087032,0,0,0,0,0,0
tt0088194,0,0,0,0,0,0
tt0088206,0,0,0,0,0,0
tt0090190,0,0,0,0,0,0
tt0087262,0,0,0,0,0,0
tt0087597,0,0,0,0,0,0
tt0087985,0,0,0,0,0,0
tt0088170,0,0,0,0,0,0
tt0087078,0,0,0,0,0,0
tt0088011,0,0,0,0,0,0
tt0087182,0,0,0,0,0,0
tt0086960,0,0,0,0,0,0
tt0087538,0,0,0,0,0,0
tt0087469,0,0,0,0,0,0
tt0088247,0,0,0,0,0,0
